DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
2280.9540,2385.2450,104.2910,4.5723,0.0236,1.1548,1.1312
2304.0620,2388.4720,84.4100,3.6635,0.0471,0.0765,0.0294
2337.6660,2436.0440,98.3780,4.2084,0.0000,0.0000,0.0000
2341.5600,2429.7330,88.1730,3.7656,0.0041,0.0450,0.0409
2356.3630,2445.0450,88.6820,3.7635,0.1391,0.2454,0.1063
2363.4780,2465.7390,102.2610,4.3267,0.1288,0.6578,0.5291
2379.4180,2486.2110,106.7930,4.4882,0.2474,0.2110,-0.0364
2405.2450,2506.4860,101.2410,4.2092,0.0691,0.4851,0.4159
2405.8470,2516.8600,111.0130,4.6143,0.0000,0.0000,0.0000
2408.8020,2503.9140,95.1120,3.9485,0.0070,0.0340,0.0270
2414.3190,2523.5080,109.1890,4.5226,0.0175,0.0544,0.0369
2418.4070,2509.5130,91.1060,3.7672,0.0018,0.0016,-0.0002
2426.5150,2520.1200,93.6050,3.8576,0.0000,0.0000,0.0000
2428.1820,2538.6450,110.4630,4.5492,0.0288,0.1561,0.1273
2432.5570,2525.9040,93.3470,3.8374,0.0046,0.3203,0.3157
2442.1860,2554.7250,112.5390,4.6081,0.0000,0.0000,0.0000
2454.6510,2568.9920,114.3410,4.6581,0.0007,0.0313,0.0306
2458.7750,2561.1370,102.3620,4.1631,0.0078,0.1501,0.1423
2476.1480,2598.9250,122.7770,4.9584,0.0150,0.0451,0.0301
2479.2990,2596.1740,116.8750,4.7140,0.0000,0.0000,0.0000
2489.7780,2602.4210,112.6430,4.5242,0.0334,0.2675,0.2341
2497.1540,2605.9750,108.8210,4.3578,0.3239,0.0822,-0.2418
2497.6590,2612.8250,115.1660,4.6110,0.0386,0.0338,-0.0048
2498.8160,2626.4050,127.5890,5.1060,0.0560,0.0008,-0.0552
2502.5200,2617.6990,115.1790,4.6025,0.0442,0.0020,-0.0422
2505.0780,2626.2180,121.1400,4.8358,0.0982,0.2787,0.1805
2515.1840,2632.1820,116.9980,4.6517,0.0000,0.0000,0.0000
2522.2700,2641.7340,119.4640,4.7364,0.1598,0.0254,-0.1345
2527.8840,2646.0880,118.2040,4.6760,0.0449,0.0410,-0.0039
2537.7640,2651.4640,113.7000,4.4803,0.0907,0.0160,-0.0747
2541.4190,2658.2010,116.7820,4.5951,0.2519,0.5477,0.2958
2554.3850,2668.4670,114.0820,4.4661,0.0000,0.0000,0.0000
2576.5160,2699.2040,122.6880,4.7618,0.3121,0.3036,-0.0085
2594.1550,2718.2110,124.0560,4.7821,0.0192,0.0037,-0.0155
2601.5150,2728.5070,126.9920,4.8815,0.0000,0.0000,0.0000
2605.4240,2726.4740,121.0500,4.6461,0.0039,0.0046,0.0007
2612.5530,2735.2940,122.7410,4.6981,0.0065,0.0425,0.0361
2613.6680,2730.7490,117.0810,4.4796,0.0141,0.0001,-0.0140
2621.7730,2743.9430,122.1700,4.6598,0.2282,0.8985,0.6703
2623.2100,2742.7400,119.5300,4.5566,0.0640,0.2089,0.1449
2629.1180,2747.9170,118.7990,4.5186,0.0000,0.0000,0.0000
2641.3300,2767.4620,126.1320,4.7753,0.0618,0.0211,-0.0407
2643.9930,2779.5170,135.5240,5.1257,0.0946,0.5225,0.4279
2648.3570,2778.0120,129.6550,4.8957,0.0071,0.0627,0.0557
2655.5010,2781.0740,125.5730,4.7288,0.5228,0.3098,-0.2130
2666.1980,2794.3740,128.1760,4.8074,0.0000,0.0000,0.0000
2671.3890,2798.9340,127.5450,4.7745,0.0795,0.5642,0.4847
2681.7880,2819.6110,137.8230,5.1392,0.0099,0.0046,-0.0053
2684.3260,2815.5920,131.2660,4.8901,0.2845,0.1731,-0.1113
2694.0050,2821.7960,127.7910,4.7435,0.0019,0.0766,0.0747
