DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
1657.3500,1681.2200,23.8700,1.4403,,0.0092,0.1294,0.1202
1659.1040,1671.2830,12.1790,0.7341,,0.0014,0.0051,0.0037
1660.2990,1676.6860,16.3870,0.9870,,0.1600,1.1102,0.9502
1663.6110,1679.8780,16.2670,0.9778,,0.3782,0.2183,-0.1599
1665.6950,1703.0150,37.3200,2.2405,,0.3615,0.1580,-0.2034
1669.9590,1709.2630,39.3040,2.3536,,1.2556,0.4154,-0.8401
1670.8990,1654.0580,-16.8410,-1.0079,,0.1989,0.4862,0.2873
1671.6260,1663.6940,-7.9320,-0.4745,,0.0018,0.0114,0.0096
1673.2880,1715.7050,42.4170,2.5349,,0.0090,0.0156,0.0066
1673.8810,1710.3470,36.4660,2.1785,,0.0207,0.0071,-0.0136
1674.5470,1708.8370,34.2900,2.0477,,0.2208,0.7459,0.5251
1679.6280,1667.6380,-11.9900,-0.7138,,0.0641,0.0241,-0.0400
1679.7550,1677.0610,-2.6940,-0.1604,,0.1929,2.7992,2.6062
1679.9660,1683.8360,3.8700,0.2304,,0.0321,0.0642,0.0321
1680.1420,1676.5440,-3.5980,-0.2141,,0.1230,0.0942,-0.0288
1681.3140,1650.9980,-30.3160,-1.8031,,0.3245,7.7755,7.4511
1687.2120,1696.6190,9.4070,0.5575,,0.6815,0.5459,-0.1356
1687.2650,1705.8590,18.5940,1.1020,,0.0958,0.3764,0.2807
1689.4600,1725.8420,36.3820,2.1535,,0.6506,0.3192,-0.3314
1690.4030,1706.3650,15.9620,0.9443,,0.2944,0.9348,0.6404
1691.6310,1724.8740,33.2430,1.9651,,0.0138,0.0106,-0.0031
1691.7050,1693.1440,1.4390,0.0851,,0.1566,0.3607,0.2042
1692.3250,1716.9090,24.5840,1.4527,,0.2139,0.1656,-0.0482
1693.7910,1733.1560,39.3650,2.3241,,0.3634,0.0857,-0.2777
1695.7980,1703.2980,7.5000,0.4423,,0.0490,0.2641,0.2151
1699.0500,1713.4060,14.3560,0.8449,,0.5228,0.2795,-0.2433
1700.3750,1708.2740,7.8990,0.4645,,0.1552,0.0719,-0.0834
1702.6540,1748.6250,45.9710,2.7000,,0.0227,0.0410,0.0183
1702.9200,1743.2020,40.2820,2.3655,,0.0121,0.0656,0.0535
1703.2410,1708.8100,5.5690,0.3270,,0.0050,0.2709,0.2659
1703.4570,1742.1640,38.7070,2.2723,,0.4770,1.0486,0.5716
1703.9010,1738.5060,34.6050,2.0309,,0.2857,3.2297,2.9440
1704.1960,1720.2240,16.0280,0.9405,,0.0052,0.0013,-0.0039
1704.3840,1722.1800,17.7960,1.0441,,0.9221,1.5668,0.6447
1704.6940,1733.5820,28.8880,1.6946,,0.4896,3.1548,2.6652
1708.5250,1729.6510,21.1260,1.2365,,0.3453,0.0296,-0.3157
1710.2850,1704.7770,-5.5080,-0.3221,,0.0017,0.0148,0.0131
1711.4260,1764.0890,52.6630,3.0771,,0.0082,0.0377,0.0295
1713.1960,1743.7620,30.5660,1.7842,,0.0247,0.0068,-0.0179
1713.5850,1731.4870,17.9020,1.0447,,0.0063,0.2688,0.2625
1715.9550,1697.6750,-18.2800,-1.0653,,2.2680,3.2744,1.0063
1716.0940,1738.7910,22.6970,1.3226,,0.2330,0.2462,0.0132
1717.2010,1756.0500,38.8490,2.2623,,0.0760,0.6434,0.5674
1718.3150,1708.6750,-9.6400,-0.5610,,0.0061,0.0044,-0.0017
1720.9700,1757.8120,36.8420,2.1408,,0.0037,0.0619,0.0582
1724.5540,1764.4910,39.9370,2.3158,,0.7956,0.6371,-0.1585
1725.9530,1746.8770,20.9240,1.2123,,0.0173,0.1647,0.1474
1726.2350,1721.2340,-5.0010,-0.2897,,0.0291,0.0910,0.0619
1726.4700,1719.9960,-6.4740,-0.3750,,0.4157,0.5749,0.1591
1726.5160,1741.0720,14.5560,0.8431,,1.0037,1.3908,0.3871
1727.4700,1747.1520,19.6820,1.1394,,0.3382,0.1647,-0.1736
1731.6910,1773.8350,42.1440,2.4337,,0.0155,0.0446,0.0291
1733.5560,1739.4890,5.9330,0.3422,,4.0578,3.8988,-0.1589
1735.9310,1770.0370,34.1060,1.9647,,3.6983,0.7239,-2.9744
1736.9680,1759.3250,22.3570,1.2871,,2.1461,11.2309,9.0848
1737.7530,1759.6140,21.8610,1.2580,,0.5892,0.0625,-0.5267
1739.8690,1752.4550,12.5860,0.7234,,0.0209,0.0141,-0.0068
1740.7200,1796.9210,56.2010,3.2286,,0.0059,0.0804,0.0746
1741.6640,1760.5810,18.9170,1.0861,,0.0205,0.0498,0.0293
1745.9080,1755.5130,9.6050,0.5501,,0.0072,0.1618,0.1545
1747.4820,1713.7950,-33.6870,-1.9277,,1.3775,0.3955,-0.9820
1747.8320,1759.2570,11.4250,0.6537,,0.0003,0.0086,0.0083
1747.9470,1787.5140,39.5670,2.2636,,0.8386,0.9701,0.1316
1748.9710,1770.4170,21.4460,1.2262,,0.1092,1.1288,1.0196
1751.4090,1722.9270,-28.4820,-1.6262,,0.0295,0.0992,0.0697
1751.9260,1768.9090,16.9830,0.9694,,0.3422,1.5213,1.1791
1751.9800,1743.0340,-8.9460,-0.5106,,0.1361,0.0732,-0.0628
1752.6900,1797.5380,44.8480,2.5588,,0.3894,1.3640,0.9746
1753.2130,1775.1910,21.9780,1.2536,,0.0049,89.9062,89.9013
1754.8670,1792.6460,37.7790,2.1528,,0.4484,5.4662,5.0178
1756.9530,1793.9160,36.9630,2.1038,,1.5393,1.1287,-0.4106
1757.5680,1781.0070,23.4390,1.3336,,0.0514,0.3058,0.2544
1758.8570,1800.6910,41.8340,2.3785,,0.0519,24.9897,24.9378
1760.2210,1747.3180,-12.9030,-0.7330,,0.1117,0.0559,-0.0559
1760.9190,1806.7340,45.8150,2.6018,,0.0296,0.0325,0.0029
1765.5770,1781.7830,16.2060,0.9179,,0.0499,0.3149,0.2650
1767.6670,1784.9290,17.2620,0.9765,,0.0135,0.0205,0.0070
1768.1090,1790.2500,22.1410,1.2522,,0.6072,0.1946,-0.4126
1771.2540,1796.3320,25.0780,1.4158,,1.0061,0.0731,-0.9330
1775.4560,1820.8170,45.3610,2.5549,,3.7814,0.6608,-3.1206
1776.0990,1787.1970,11.0980,0.6249,,0.7686,7.9258,7.1572
1777.0620,1789.5110,12.4490,0.7005,,8.7503,6.4032,-2.3471
1782.7820,1794.6600,11.8780,0.6663,0.9924,273.9985,0.0000,-273.9985
1783.8670,1763.5790,-20.2880,-1.1373,,0.7594,28.7525,27.9931
1786.1440,1826.4600,40.3160,2.2572,,0.9523,5.3098,4.3575
1786.5500,1795.6310,9.0810,0.5083,,11.7290,5.6696,-6.0594
1786.9950,1799.7150,12.7200,0.7118,,21.8517,14.7573,-7.0945
1787.2850,1821.8000,34.5150,1.9311,,5.5665,2.3233,-3.2432
1787.7790,1812.0700,24.2910,1.3587,,78.7697,10.7329,-68.0369
1788.1190,1773.9810,-14.1380,-0.7907,,0.2080,0.9137,0.7057
1793.0520,1785.8940,-7.1580,-0.3992,,0.1375,7.3067,7.1692
1796.5980,1823.5900,26.9920,1.5024,,0.0067,1.1832,1.1765
1797.4020,1796.2540,-1.1480,-0.0639,,0.0017,0.0277,0.0260
1798.1470,1787.7360,-10.4110,-0.5790,,0.1310,0.1468,0.0158
1798.8800,1816.3940,17.5140,0.9736,,2.2664,1.7798,-0.4865
1800.4320,1813.8070,13.3750,0.7429,,0.1840,0.3702,0.1862
1801.0210,1827.4210,26.4000,1.4658,,3.6440,28.4225,24.7785
1805.5390,1837.6690,32.1300,1.7795,,0.0688,0.0354,-0.0334
1806.0500,1791.6020,-14.4480,-0.8000,,0.4639,0.0739,-0.3900
1806.7780,1832.0200,25.2420,1.3971,,0.5650,93.9076,93.3426
1806.8550,1819.9920,13.1370,0.7271,,1.7220,14.9516,13.2296
1807.5660,1821.0190,13.4530,0.7443,,0.2172,947.7820,947.5648
1808.1630,1805.1950,-2.9680,-0.1641,,2.2422,1.0268,-1.2154
1810.0350,1850.4380,40.4030,2.2322,,0.2467,20.3686,20.1218
1813.7880,1829.7640,15.9760,0.8808,,0.5469,15.2245,14.6776
1815.4270,1825.3030,9.8760,0.5440,,3.4547,2.4706,-0.9841
1816.9500,1858.0220,41.0720,2.2605,,13.0134,8.5045,-4.5089
1818.0140,1843.9310,25.9170,1.4256,,1.0336,1.9407,0.9071
1820.0470,1825.3220,5.2750,0.2898,,2.8195,4.4849,1.6654
1821.0510,1845.6470,24.5960,1.3506,,67.9615,0.3648,-67.5967
1821.0780,1851.3980,30.3200,1.6649,,0.4047,0.2952,-0.1095
1827.8930,1852.9560,25.0630,1.3711,,31.3763,0.3076,-31.0687
1831.3160,1830.5520,-0.7640,-0.0417,,0.4604,0.1429,-0.3175
1831.8790,1859.6170,27.7380,1.5142,,44.2008,1.0006,-43.2003
1832.8830,1842.7870,9.9040,0.5404,,4.7488,5.4643,0.7155
1834.4970,1804.1360,-30.3610,-1.6550,,3.2803,0.9376,-2.3427
1835.8550,1854.2770,18.4220,1.0035,,0.0011,0.0121,0.0110
1836.6260,1880.4290,43.8030,2.3850,,72.8157,0.3754,-72.4403
1838.2930,1850.1470,11.8540,0.6448,,2.6258,0.5558,-2.0700
1839.9280,1835.6910,-4.2370,-0.2303,0.9981,88.3473,0.0000,-88.3473
1841.4720,1869.8430,28.3710,1.5407,,1.8272,0.8202,-1.0070
1845.0610,1863.1900,18.1290,0.9826,,0.0221,0.0361,0.0140
1846.1840,1876.6060,30.4220,1.6478,,0.0318,0.0898,0.0580
1846.7420,1821.5350,-25.2070,-1.3649,,0.4955,96.5855,96.0900
1850.6400,1884.5570,33.9170,1.8327,,0.0934,0.0735,-0.0199
1851.2370,1883.6860,32.4490,1.7528,,0.0004,0.0217,0.0213
1852.5960,1864.8590,12.2630,0.6619,,0.2099,0.3479,0.1379
1853.1020,1878.5190,25.4170,1.3716,,0.9330,0.0513,-0.8817
1859.5140,1892.2030,32.6890,1.7579,,0.0247,0.0199,-0.0047
1859.8080,1891.6000,31.7920,1.7094,,0.0016,0.0066,0.0049
1860.8860,1904.2820,43.3960,2.3320,,0.9051,0.3002,-0.6050
1864.9070,1892.8280,27.9210,1.4972,,0.7839,1.4591,0.6751
1865.1430,1887.5120,22.3690,1.1993,,1.8223,1.3474,-0.4748
1865.1920,1852.9210,-12.2710,-0.6579,,0.0246,0.0559,0.0312
1868.4050,1881.3700,12.9650,0.6939,,0.1151,0.1524,0.0373
1869.1670,1862.9260,-6.2410,-0.3339,,0.0002,0.0127,0.0125
1869.3550,1854.5630,-14.7920,-0.7913,,0.1486,0.9825,0.8339
1869.3960,1882.9850,13.5890,0.7269,,0.1368,0.0779,-0.0588
1870.7720,1914.0060,43.2340,2.3110,,1.3153,0.2553,-1.0601
1871.0100,1862.2740,-8.7360,-0.4669,,1.4268,2.5704,1.1436
1872.7210,1855.8470,-16.8740,-0.9010,,0.0349,0.0323,-0.0026
1874.0880,1894.0260,19.9380,1.0639,,0.1085,0.1273,0.0188
1875.4660,1880.9200,5.4540,0.2908,,0.0843,0.1133,0.0289
1877.2840,1866.3620,-10.9220,-0.5818,,0.0007,0.0028,0.0021
1879.5140,1905.3150,25.8010,1.3727,,0.1385,0.0965,-0.0420
1879.8540,1877.7170,-2.1370,-0.1137,,0.0600,0.0803,0.0203
1880.4680,1848.2700,-32.1980,-1.7122,,0.1681,1.1125,0.9445
1880.5450,1897.7960,17.2510,0.9173,,0.2232,0.3860,0.1628
1881.4910,1870.4820,-11.0090,-0.5851,,0.2225,0.7954,0.5729
1881.6680,1907.3640,25.6960,1.3656,,0.6588,0.0605,-0.5983
1881.9640,1894.0070,12.0430,0.6399,,0.0339,0.0151,-0.0187
1882.8340,1902.0650,19.2310,1.0214,,0.1165,0.5202,0.4037
1885.1560,1906.4070,21.2510,1.1273,,0.0059,0.0090,0.0031
1888.0850,1920.1100,32.0250,1.6962,,0.7855,0.4697,-0.3158
1888.6850,1925.0610,36.3760,1.9260,,0.0019,0.0559,0.0540
1891.4420,1894.2010,2.7590,0.1459,,0.0518,0.1996,0.1478
1891.8930,1906.7900,14.8970,0.7874,,0.0086,0.0636,0.0550
1893.8380,1921.3400,27.5020,1.4522,,0.2690,0.1369,-0.1321
1894.5250,1936.6590,42.1340,2.2240,,0.3503,0.3892,0.0388
1900.6130,1884.5260,-16.0870,-0.8464,,0.0413,0.0498,0.0085
1901.2610,1930.6280,29.3670,1.5446,,0.0479,0.0453,-0.0026
1901.7540,1889.1090,-12.6450,-0.6649,,0.0052,0.0275,0.0223
1902.4480,1941.0250,38.5770,2.0278,,0.0373,0.1614,0.1241
1904.7910,1926.1210,21.3300,1.1198,,0.0936,0.3433,0.2497
1906.0090,1910.9750,4.9660,0.2605,,0.5239,1.2848,0.7609
1911.9190,1930.4840,18.5650,0.9710,,1.8774,5.8829,4.0055
1913.1190,1940.9370,27.8180,1.4541,,1.5850,0.0771,-1.5080
1914.8840,1927.9900,13.1060,0.6844,,0.0449,0.2411,0.1962
1916.2680,1930.1680,13.9000,0.7254,,0.6518,0.7539,0.1021
1916.6220,1898.9080,-17.7140,-0.9242,,0.0040,0.0529,0.0488
1916.8440,1924.5010,7.6570,0.3995,,0.6843,0.6593,-0.0250
