DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
799.9010,822.7330,22.8320,2.8544,,0.3826,8.6686,8.2860
800.5470,811.5610,11.0140,1.3758,,0.2205,1.5373,1.3168
802.9210,832.7060,29.7850,3.7096,,0.1080,0.0650,-0.0430
803.6490,826.5730,22.9240,2.8525,,1.0545,10.2998,9.2453
804.2490,825.2590,21.0100,2.6124,,0.1243,0.8939,0.7696
814.8570,846.7420,31.8850,3.9130,,0.0352,160.2756,160.2404
815.3470,840.7850,25.4380,3.1199,,0.9947,12.7147,11.7200
818.0790,827.1260,9.0470,1.1059,,0.5613,1.6594,1.0980
823.7670,864.4400,40.6730,4.9374,,0.7240,0.8713,0.1473
824.5800,840.8390,16.2590,1.9718,0.9705,11.6597,0.0000,-11.6597
826.2190,832.1120,5.8930,0.7132,,1.3202,0.3784,-0.9418
828.4960,842.8530,14.3570,1.7329,,0.5667,11.7200,11.1533
830.0720,843.7870,13.7150,1.6523,,0.6400,37.7879,37.1479
833.6040,855.5910,21.9870,2.6376,,2.0107,0.3433,-1.6674
841.0940,873.3090,32.2150,3.8301,,0.4522,1.4910,1.0388
842.4090,867.6740,25.2650,2.9991,,2.2927,2.6399,0.3472
844.0560,843.7690,-0.2870,-0.0340,,0.1356,11.0988,10.9632
844.2660,873.8180,29.5520,3.5003,,0.1578,0.1337,-0.0241
845.3930,878.0600,32.6670,3.8641,,0.0284,0.8066,0.7782
845.6680,872.6220,26.9540,3.1873,,0.2841,0.5492,0.2651
847.6320,854.1130,6.4810,0.7646,,0.0162,0.1995,0.1833
852.9930,865.1610,12.1680,1.4265,,0.2538,0.7096,0.4558
853.2890,894.7420,41.4530,4.8580,,0.0762,0.2011,0.1250
861.7700,871.9690,10.1990,1.1835,,0.3417,0.4784,0.1368
863.9770,887.4560,23.4790,2.7175,,0.1406,1.8562,1.7157
864.0890,871.5870,7.4980,0.8677,,0.0137,0.0150,0.0013
864.7150,870.4340,5.7190,0.6614,,0.5720,0.9858,0.4138
865.9410,876.5270,10.5860,1.2225,,0.1618,0.3565,0.1947
873.7010,910.9230,37.2220,4.2603,,0.0594,0.0480,-0.0114
873.7690,904.2130,30.4440,3.4842,,0.0138,0.1444,0.1306
874.3130,905.4160,31.1030,3.5574,,0.2291,0.0257,-0.2034
875.7680,888.3310,12.5630,1.4345,,0.1866,0.1276,-0.0590
