DFT_Frequency_cm,ML_Frequency_cm,Freq_Difference_cm,Percent_Error,Mode_Overlap,DFT_Intensity_km_mol,ML_Intensity_km_mol,Intensity_Difference
3520.6640,3475.4620,-45.2020,-1.2839,,0.9959,0.3754,-0.6206
3522.6630,3491.6800,-30.9830,-0.8795,,0.2159,0.3503,0.1343
3536.8300,6475.7480,2938.9180,83.0947,,0.0000,0.0000,0.0000
3586.5730,3548.5920,-37.9810,-1.0590,,0.0811,0.3519,0.2708
3586.6170,3548.5540,-38.0630,-1.0613,,0.0809,0.3413,0.2604
3594.4840,3540.2660,-54.2180,-1.5084,,0.2767,0.1296,-0.1470
3594.5460,3540.2460,-54.3000,-1.5106,,0.2768,0.1361,-0.1407
3595.0100,3562.9790,-32.0310,-0.8910,,0.0300,1.3999,1.3699
3595.0170,3562.9920,-32.0250,-0.8908,,0.0299,1.4036,1.3737
3639.9090,3635.5860,-4.3230,-0.1188,,0.0008,0.3834,0.3827
3645.7910,5385.4220,1739.6310,47.7161,,0.2375,0.1262,-0.1113
3646.5600,4948.7520,1302.1920,35.7101,,0.2378,0.1273,-0.1105
3703.6140,3695.7310,-7.8830,-0.2128,,0.0403,0.3355,0.2953
3703.6310,3695.7450,-7.8860,-0.2129,,0.0403,0.3357,0.2955
3886.3880,6847.0050,2960.6170,76.1791,,0.2103,0.9554,0.7452
3923.3320,6814.8480,2891.5160,73.7005,,0.2297,0.0391,-0.1906
3923.7600,6843.0600,2919.3000,74.4006,,0.2293,0.9552,0.7259
3981.0860,3955.8150,-25.2710,-0.6348,,0.0001,0.0032,0.0031
3981.3770,3954.0590,-27.3180,-0.6861,,0.0001,0.0032,0.0031
3996.2020,5769.9020,1773.7000,44.3846,,0.0081,0.4954,0.4873
3996.6670,5342.9730,1346.3060,33.6857,,0.0081,0.2025,0.1943
4031.4200,5751.4120,1719.9920,42.6647,,0.2013,0.0031,-0.1982
4031.7270,5771.7720,1740.0450,43.1588,,0.2225,0.2040,-0.0185
4031.7940,5318.1040,1286.3100,31.9042,,0.2226,0.0032,-0.2194
4032.3650,5329.8370,1297.4720,32.1765,,0.2011,0.4961,0.2950
4043.4120,4014.6840,-28.7280,-0.7105,,0.0053,0.0111,0.0059
4043.6880,4012.9140,-30.7740,-0.7610,,0.0053,0.0111,0.0059
4043.7790,4015.0380,-28.7410,-0.7107,,0.0094,0.0210,0.0116
4044.0870,4013.2950,-30.7920,-0.7614,,0.0094,0.0210,0.0116
4328.9930,7207.6810,2878.6880,66.4979,,0.1162,0.0020,-0.1143
4329.0930,7208.5260,2879.4330,66.5135,,0.1161,0.0019,-0.1142
4437.4230,6142.9440,1705.5210,38.4349,,0.2262,0.0034,-0.2228
4437.7230,6140.6600,1702.9370,38.3741,,0.1214,0.0514,-0.0700
4438.0000,5710.4860,1272.4860,28.6725,,0.2261,0.0033,-0.2228
4438.1060,5705.7850,1267.6790,28.5635,,0.1214,0.0513,-0.0700
4466.6940,7322.7030,2856.0090,63.9401,,0.0042,0.0296,0.0254
4466.7630,7322.6670,2855.9040,63.9368,,0.0042,0.0296,0.0254
4469.5320,7335.3050,2865.7730,64.1180,,0.0525,0.0085,-0.0440
4570.9510,7477.9600,2907.0090,63.5975,,1.5754,0.0550,-1.5204
4574.9480,6259.2990,1684.3510,36.8168,,0.0058,0.0121,0.0063
4575.2970,6259.1580,1683.8610,36.8033,,0.0179,0.0121,-0.0059
4575.4840,5825.8040,1250.3200,27.3265,,0.0058,0.0121,0.0063
4575.6910,5825.7670,1250.0760,27.3199,,0.0179,0.0120,-0.0059
4578.0980,6271.4450,1693.3470,36.9880,,0.0955,0.0826,-0.0128
4578.5630,5837.9940,1259.4310,27.5071,,0.0954,0.0834,-0.0121
4676.3810,6398.0950,1721.7140,36.8172,,2.2491,0.0132,-2.2359
4676.8740,5962.7880,1285.9140,27.4952,,2.2490,0.0143,-2.2347
4699.6530,4661.6710,-37.9820,-0.8082,,0.1370,3.1714,3.0344
4729.1660,4685.0880,-44.0780,-0.9320,,0.5618,2.6110,2.0492
4729.1960,4685.0920,-44.1040,-0.9326,,0.5616,2.6377,2.0761
4775.6600,4722.0080,-53.6520,-1.1234,,0.0171,2.9198,2.9027
4821.5000,4773.0200,-48.4800,-1.0055,,0.0714,1.3105,1.2392
4821.8280,4773.6640,-48.1640,-0.9989,,0.0589,1.2039,1.1451
4889.6540,7779.3930,2889.7390,59.0990,,0.1540,0.0009,-0.1532
4889.9990,7777.2280,2887.2290,59.0435,,0.1538,0.0009,-0.1529
5000.6970,6696.4060,1695.7090,33.9095,,1.0650,0.3531,-0.7119
5001.5880,6259.7620,1258.1740,25.1555,,1.0652,0.3509,-0.7143
5010.6150,6703.9270,1693.3120,33.7945,,1.1480,0.3747,-0.7733
5010.8200,6273.6850,1262.8650,25.2028,,1.1480,0.3744,-0.7736
5656.3070,8516.6010,2860.2940,50.5682,,0.0115,0.0211,0.0096
5718.6920,8575.2590,2856.5670,49.9514,,0.0114,0.1193,0.1079
5718.7080,8575.2950,2856.5870,49.9516,,0.0114,0.1194,0.1081
5764.7370,7452.9230,1688.1860,29.2847,,0.0152,0.0087,-0.0066
5765.2020,7019.4670,1254.2650,21.7558,,0.0152,0.0086,-0.0066
5826.2410,7511.0500,1684.8090,28.9176,,0.0841,0.1369,0.0528
5826.6920,7077.5930,1250.9010,21.4685,,0.0841,0.1368,0.0526
5827.6370,7512.3490,1684.7120,28.9090,,0.0158,0.0485,0.0326
5828.1170,7078.9440,1250.8270,21.4619,,0.0158,0.0486,0.0327
6540.3660,13483.5130,6943.1470,106.1584,,0.9174,5.7674,4.8500
6600.0700,12902.8540,6302.7840,95.4957,,1.3076,1.2542,-0.0534
6600.6230,12252.8300,5652.2070,85.6314,,1.3078,1.2112,-0.0966
6692.2540,10811.7360,4119.4820,61.5560,,1.1707,1.7214,0.5507
6751.8060,9565.9820,2814.1760,41.6803,,1.0839,1.1193,0.0354
6751.9740,10098.0090,3346.0350,49.5564,,0.6399,0.3632,-0.2767
